url_peli,Title,Year,tmdb_type,tmdb_id
/film/the-holy-innocents/,The Holy Innocents,1984,movie,75877.0
/film/when-harry-met-sally/,When Harry Met Sally...,1989,movie,639.0
/film/first-name-carmen/,First Name: Carmen,1983,movie,32689.0
/film/el-crack/,El crack,1981,movie,60794.0
/film/they-live/,They Live,1988,movie,8337.0
/film/ms-45/,Ms .45,1981,movie,22171.0
/film/buddies-1985/,Buddies,1985,movie,259433.0
/film/dawn-breaks-which-is-no-small-thing/,"Dawn Breaks, Which Is No Small Thing",1989,movie,20607.0
/film/raiders-of-the-lost-ark/,Raiders of the Lost Ark,1981,movie,85.0
/film/rumble-fish/,Rumble Fish,1983,movie,232.0
/film/island-of-loves/,Island of Loves,1982,movie,198481.0
/film/the-glass-menagerie-1987/,The Glass Menagerie,1987,movie,52780.0
/film/a-better-tomorrow/,A Better Tomorrow,1986,movie,11471.0
/film/class-relations/,Class Relations,1984,movie,117479.0
/film/full-metal-jacket/,Full Metal Jacket,1987,movie,600.0
/film/year-of-the-dragon/,Year of the Dragon,1985,movie,11018.0
/film/cruising/,Cruising,1980,movie,27958.0
/film/broadcast-news/,Broadcast News,1987,movie,12626.0
/film/one-from-the-heart/,One from the Heart,1982,movie,41291.0
/film/prince-of-darkness/,Prince of Darkness,1987,movie,8852.0
/film/stand-by-me/,Stand by Me,1986,movie,235.0
/film/every-man-for-himself/,Every Man for Himself,1980,movie,113479.0
/film/images-of-the-world-and-the-inscription-of/,Images of the World and the Inscription of War,1988,movie,115150.0
/film/the-cook-the-thief-his-wife-her-lover/,"The Cook, the Thief, His Wife & Her Lover",1989,movie,7452.0
/film/twenty-years-later/,Twenty Years Later,1984,movie,86320.0
/film/airplane/,Airplane!,1980,movie,813.0
/film/starman/,Starman,1984,movie,9663.0
/film/the-antiquities-of-rome/,The Antiquities of Rome,1989,movie,262478.0
/film/fanny-and-alexander-1984/,Fanny and Alexander,1984,tv,33153.0
/film/indiana-jones-and-the-last-crusade/,Indiana Jones and the Last Crusade,1989,movie,89.0
/film/querelle/,Querelle,1982,movie,42135.0
/film/elephant/,Elephant,1989,movie,37055.0
/film/the-asthenic-syndrome/,The Asthenic Syndrome,1989,movie,97039.0
/film/faster-faster/,"Faster, Faster",1981,movie,47211.0
/film/lhomme-atlantique/,L’homme atlantique,1981,movie,361150.0
/film/spring-in-autumn/,Spring in Autumn,1985,movie,463512.0
/film/aliens/,Aliens,1986,movie,679.0
/film/au-revoir-les-enfants/,Au Revoir les Enfants,1987,movie,1786.0
/film/maine-ocean-express/,Maine-Ocean Express,1986,movie,63663.0
/film/missing/,Missing,1982,movie,15600.0
/film/from-the-life-of-the-marionettes/,From the Life of the Marionettes,1980,movie,42152.0
