Title,Year,Review
The Official Story,1985,6 puntos con 2 menciones
The Untouchables,1987,6 puntos con 2 menciones
This Is Spinal Tap,1984,6 puntos con 2 menciones
Three Crowns of the Sailor,1983,6 puntos con 2 menciones
Thérèse,1986,6 puntos con 2 menciones
Time for Revenge,1981,6 puntos con 2 menciones
"American Stories: Food, Family and Philosophy",1989,6 puntos con 1 menciones
Cutter's Way,1981,6 puntos con 1 menciones
Dead Poets Society,1989,6 puntos con 1 menciones
Depression Focus Please,1984,6 puntos con 1 menciones
Guinea Pig: Mermaid in the Manhole,1988,6 puntos con 1 menciones
Homecomings,1987,6 puntos con 1 menciones
Jumping,1984,6 puntos con 1 menciones
Pestonjee,1988,6 puntos con 1 menciones
Shocker,1989,6 puntos con 1 menciones
The Dream,1987,6 puntos con 1 menciones
The Eighties,1983,6 puntos con 1 menciones
The Little Mermaid,1989,6 puntos con 1 menciones
The Satin Slipper,1985,6 puntos con 1 menciones
The Toxic Avenger,1984,6 puntos con 1 menciones
Crossing Delancey,1988,5 puntos con 3 menciones
Excalibur,1981,5 puntos con 3 menciones
Leila and the Wolves,1984,5 puntos con 3 menciones
Mishima: A Life in Four Chapters,1985,5 puntos con 3 menciones
Rocío,1980,5 puntos con 3 menciones
The Emperor's Naked Army Marches On,1987,5 puntos con 3 menciones
The Long Riders,1980,5 puntos con 3 menciones
Yellow Earth,1984,5 puntos con 3 menciones
...All the Marbles,1981,5 puntos con 2 menciones
Altered States,1980,5 puntos con 2 menciones
Brasil,1981,5 puntos con 2 menciones
Caravaggio,1986,5 puntos con 2 menciones
Carmen,1983,5 puntos con 2 menciones
De Onvoltooide Tulp,1980,5 puntos con 2 menciones
Dead Man's Letters,1986,5 puntos con 2 menciones
"Five Year Diary, Reel 23: A Breakdown (and) After the Mental Hospital (September 1–December 13, 1982)",1982,5 puntos con 2 menciones
From the Reports of Security Guards & Patrol Services No.1,1985,5 puntos con 2 menciones
Gloria,1980,5 puntos con 2 menciones
Harry & Son,1984,5 puntos con 2 menciones
Hôtel Terminus: The Life and Times of Klaus Barbie,1988,5 puntos con 2 menciones
I Love It from Behind!,1981,5 puntos con 2 menciones
Liberty at Night,1984,5 puntos con 2 menciones
Local Hero,1983,5 puntos con 2 menciones
"Love, Women and Flowers",1988,5 puntos con 2 menciones
Mississippi Burning,1988,5 puntos con 2 menciones
Movie Dementia,1986,5 puntos con 2 menciones
My Dinner with Andre,1981,5 puntos con 2 menciones
Once More,1988,5 puntos con 2 menciones
Parsifal,1982,5 puntos con 2 menciones
Pièce touchée,1989,5 puntos con 2 menciones
Rise and Fall of a Small Film Company,1986,5 puntos con 2 menciones
The Ballad of Narayama,1983,5 puntos con 2 menciones
The Book of Mary,1985,5 puntos con 2 menciones
A Midsummer Night's Sex Comedy,1982,5 puntos con 1 menciones
A Pool Without Water,1982,5 puntos con 1 menciones
