;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
1154;;;;;;;;;;;;Charge of the Carabineers, Aldershot;Manchester Street Scene;The Genii of Fire;;;;
1155;;;;;;;;;;;;Her Majesty the Queen Arriving at South Kensington on the Occasion of the Laying of the Foundation Stone of the Victoria & Albert Museum;Parkgate Iron and Steel Co., Rotherham;Fireside Reminiscences;;;;
1156;;;;;;;;;;;;Pope Leo XIII Carried through the Vatican Loggia on His Way to the Sistine Chapel;Ride on the Tramcar Through Belfast;Cupid’s Pranks;;;;
1157;;;;;;;;;;;;Queen Victoria's Diamond Jubilee Taken from Apsley;North Sea Fisheries, North Shields;In a Difficult Position;;;;
1158;;;;;;;;;;;;The Lane on Sunday Morning;20,000 Employees Entering Lord Armstrong's Elswick Works, Newcastle-upon-Tyne;Donnerwetter, tadellos;;;;
1159;;;;;;;;;;;;Australian Cricket Tourists of 1899;Drat That Boy;At the French Ball;;;;
1160;;;;;;;;;;;;Pelicans at the Zoo;The Kiddies' Cakewalk;The Bank Robbery;;;;
1161;;;;;;;;;;;;Launch of the Worthing Lifeboat Emerging from the Boathouse;Hammerfest;The Broken Violin;;;;
1162;;;;;;;;;;;;Launch of the Worthing Lifeboat Coming Ashore;The Delhi Durbar;A Suburbanite's Ingenious Alarm;;;;
1163;;;;;;;;;;;;The American Biograph in Circus O. Carré;Coronation Durbar at Delhi;French Cops Learning English;;;;
1164;;;;;;;;;;;;American Biograph at the Palace;The Extraordinary Waiter;The Bee and the Rose;;;;
1165;;;;;;;;;;;;The Wonderful Mutoscope;His Only Pair;Whimsical People;;;;
1166;;;;;;;;;;;;A Serpentine Dance;The Magic Sword;At the Crossroads of Life;;;;
1167;;;;;;;;;;;;Fencing at the Joinville School;The Deonzo Brothers;Tramway;;;;
1168;;;;;;;;;;;;Boxing Match;Artistic Creation;The Miser;;;;
1169;;;;;;;;;;;;An Irritable Model;The Waif and the Wizard;The New Lord of the Village;;;;
1170;;;;;;;;;;;;A Woman Surprised;Undressing Extraordinary;Romance of a Jewess;;;;
1171;;;;;;;;;;;;The Bridegroom's Dilemma;An Over-Incubated Baby;Le costume blanc;;;;
1172;;;;;;;;;;;;Arrival of a Train (Joinville Station);The Cheese Mites, or Lilliputians in a London Restaurant;Drama at the Puppets' House;;;;
1173;;;;;;;;;;;;Me and My Two Friends;His Brave Defender;Not Guilty;;;;
1174;;;;;;;;;;;;He and She;A Railway Collision;A Tricky Painter’s Fate;;;;
1175;;;;;;;;;;;;Afternoon Tea in the Gardens of Clarence House;An Exciting Pillow Fight;Scullion's Dream;;;;
1176;;;;;;;;;;;;Humpty Dumpty Circus;Army Life: Mounted Infantry;The Gold Spider;;;;
1177;;;;;;;;;;;;A Woman Throwing on a Shawl;The Trick Cyclist;Oh How Deceptive;;;;
1178;;;;;;;;;;;;The Adoration of the Magi;Rough Sea;Buncoed Stage Johnnie;;;;
1179;;;;;;;;;;;;Le conférencier distrait;Troubles of a Manager of a Burlesque Show;Tale the Autumn Leaves Told;;;;
1180;;;;;;;;;;;;Liverpool, entrée dans Clarence Dock;The Georgetown Loop (Colorado);St. Kilda, Its People and Birds;;;;
1181;;;;;;;;;;;;Pelicans, London Zoological Garden;Skyscrapers of New York City, from the North River;Fish Factory at Astrakhan;;;;
1182;;;;;;;;;;;;The Clown and Automobile;Princess Rajah Dance;Female Conscripts;;;;
1183;;;;;;;;;;;;Feeding Seagulls off the Irish Coast;How to Stop a Motorcar;The Power of Hypnosis;;;;
1184;;;;;;;;;;;;Irish Jig;The Old Maid's Valentine;Preparation for the Rendezvous;;;;
1185;;;;;;;;;;;;Sackville Street, Dublin;Uncle Josh's Nightmare;How Bridget's Lover Escaped;;;;
1186;;;;;;;;;;;;Empire State Express;The Death of Poor Joe;Laughing Gas;;;;
1187;;;;;;;;;;;;Liverpool, panorama pris du chemin de fer électrique, III;Conquering the Skies;The Talisman;;;;
1188;;;;;;;;;;;;Liverpool, panorama pris du chemin de fer électrique, II;An Untimely Intrusion;First Prize in Cello;;;;
1189;;;;;;;;;;;;Goat Walking;Dance of the Seasons: Winter, Snow Dance;Rogues' Tricks;;;;
1190;;;;;;;;;;;;Elephant Walking;Avenue de l'Opéra;The Colonel's Account;;;;
1191;;;;;;;;;;;;Don Juan Tenorio;The Colonel's Shower Bath;The Pumpkin Race;;;;
1192;;;;;;;;;;;;Panorama of St. Mark's Square Taken From a Boat;Panoramic View of the Morecambe Sea Front;La terroriste;;;;
1193;;;;;;;;;;;;Has He Hit Me?;The Artist's Dilemma;The Express Sculptor;;;;
1194;;;;;;;;;;;;Cat Trotting, Changing to a Gallop;The Three Musketeers;Cohen’s Fire Sale;;;;
1195;;;;;;;;;;;;Mexican Knife Duel;The Seahawk;The Trainer’s Daughter, or A Race for Love;;;;
1196;;;;;;;;;;;;Indian War Council;Nekojiru Grass;Fights of Nations;;;;
1197;;;;;;;;;;;;Rat Killing;Alive 2007;College Chums;;;;
1198;;;;;;;;;;;;Highland Dance;Giải cứu thần chết;Easter Eggs;;;;
1199;;;;;;;;;;;;Unsuccessful Somersault;Father's Best Children;His First Cigar;;;;
1200;;;;;;;;;;;;Wrestling Match;Action Man - Past Performance;Wonderful Mirrors;;;;
1201;;;;;;;;;;;;Dispute de cocher;Shadow of Fear;The Yawner;;;;
1202;;;;;;;;;;;;Royal Photographic Convention - Glasgow;;Harlequin's Story;;;;
1203;;;;;;;;;;;;The Sea Lions' Home;;La Marseillaise;;;;
1204;;;;;;;;;;;;Review of U.S. Military;;Trial Marriages;;;;
1205;;;;;;;;;;;;Boats in the New York Harbor;;The Village Blind Man;;;;
1206;;;;;;;;;;;;Rouget de Lisle chantant La Marseillaise;;The Tulips;;;;
1207;;;;;;;;;;;;Poursuite de cambrioleurs sur les toits;;Bathing Forbidden;;;;
1208;;;;;;;;;;;;Photographing a Ghost;;The Sand Bath;;;;
1209;;;;;;;;;;;;Beauty and the Beast;;Veil Dance;;;;
1210;;;;;;;;;;;;Panorama des rives de la Seine, IV;;The Angler;;;;
1211;;;;;;;;;;;;Christ Walking on Water;;The Sculptor's Dream;;;;
1212;;;;;;;;;;;;Lyon, travaux au canal de Jonage: locomobile;;An Exciting Hunt;;;;
1213;;;;;;;;;;;;Cavalier sur un cheval rétif;;A Modern Marriage;;;;
1214;;;;;;;;;;;;Lassage d'un boeuf sauvage;;Diana Bathing;;;;
1215;;;;;;;;;;;;Londres : entrée de Hyde Park;;Landbrug i Danmark;;;;
1216;;;;;;;;;;;;Emperor Francis Joseph of Austria;;Dancing Boxing Match, Montgomery and Stone;;;;
1217;;;;;;;;;;;;Cologne : arrivée de l'express;;Willie's Magic Wand;;;;
1218;;;;;;;;;;;;The Unwilling Draught Dog;;Sunderland v Leicester Fosse;;;;
1219;;;;;;;;;;;;Cologne : sortie de la cathédrale;;The Luny Musician;;;;
1220;;;;;;;;;;;;Les Parisiennes;;Jack the Chimney Sweep;;;;
1221;;;;;;;;;;;;Una cueca en Cavancha;;The Tramp and the Mattress Makers;;;;
1222;;;;;;;;;;;;Die Wachtparade;;The Bewitched Shepherd;;;;
1223;;;;;;;;;;;;Ausfahrt nach dem Alarm;;From Leadville to Aspen: A Hold-Up in the Rockies;;;;
1224;;;;;;;;;;;;Mit Ablösung der Wache;;Tit-for-Tat;;;;
1225;;;;;;;;;;;;Ankunft eines Eisenbahnzuges;;The Terrible Kids;;;;
1226;;;;;;;;;;;;Leben und Treiben am Alexanderplatz;;A Roadside Inn;;;;
1227;;;;;;;;;;;;Unter den Linden;;Living Soap Bubbles;;;;
1228;;;;;;;;;;;;O Vira;;Wales v. Ireland at Wrexham;;;;
1229;;;;;;;;;;;;Bluebeard;;The Magician from Arabia;;;;
1230;;;;;;;;;;;;Portuguese Railway Train;;The Rajah's Casket;;;;
1231;;;;;;;;;;;;Fun on the Clothesline;;The Fantastic Diver;;;;
1232;;;;;;;;;;;;Amann, the Great Impersonator;;The Butterflies;;;;
1233;;;;;;;;;;;;Menai Bridge, the Day Irish Mail from Euston Entering the Tubular Bridge Over the Menai Straits;;Flying the Foam and Some Fancy Diving;;;;
1234;;;;;;;;;;;;Panoramic View of Frere Camp Taken from the Front of an Armoured Train;;Tartans of Scottish Clans;;;;
1235;;;;;;;;;;;;Neapolitan Dance at the Ancient Forum of Pompeii;;Exploded Gas Tanks, U.S. Mint, Emporium and Spreckels' Bldg.;;;;
1236;;;;;;;;;;;;Venice, Feeding the Pigeons in St. Mark's Square;;Holmenkollen Ski Jump;;;;
1237;;;;;;;;;;;;Pulmonary Hydatid Cyst Operation;;Films of the San Francisco Earthquake;;;;
1238;;;;;;;;;;;;Panoramic View of Conway on the L. & N.W. Railway;;Zigeunerdans af troubaduren;;;;
1239;;;;;;;;;;;;The Last Round Ended in a Free Fight;;The Icelandic Althing Visits Copenhagen;;;;
1240;;;;;;;;;;;;Boxing for Points;;The Life Guards on Amager;;;;
1241;;;;;;;;;;;;Gigolos et gigolettes;;Army Pack Train Bringing Supplies;;;;
1242;;;;;;;;;;;;Mount and Dismount, Gatling Gun;;Punch and Judy;;;;
1243;;;;;;;;;;;;Moulin Rouge Dancers;;The Train Wreckers;;;;
1244;;;;;;;;;;;;Merry-Go-Round;;The Kleptomaniac;;;;
1245;;;;;;;;;;;;Theatre Hats Off;;The Burglar's Slide for Life;;;;
1246;;;;;;;;;;;;The Theatre Hat;;An Improvised Fireworks Display;;;;
1247;;;;;;;;;;;;Fun on the Steeple-Chase;;The Seven Ages;;;;
1248;;;;;;;;;;;;Ambulance at the Accident;;Flower Fairy;;;;
1249;;;;;;;;;;;;Atlantic City Fire Department;;Tom, Tom, the Piper's Son;;;;
1250;;;;;;;;;;;;The Battery;;The Vintner's Festival - Vevey 1905;;;;
1251;;;;;;;;;;;;Sea Waves;;A Ballroom Tragedy;;;;
1252;;;;;;;;;;;;Projectile from Ten Inch Disappearing Gun Striking Water, Sandy Hook;;The Society Raffles;;;;
1253;;;;;;;;;;;;A Victorian Lady in Her Boudoir;;England v. Ireland at Manchester;;;;
1254;;;;;;;;;;;;Bruxelles, Place de Brouckère;;Latina, Contortionist;;;;
1255;;;;;;;;;;;;Bruxelles, Sainte-Gudule;;Spirit of '76;;;;
1256;;;;;;;;;;;;Anes;;Kejser Wilhelms ankomst til København 1905;;;;
1257;;;;;;;;;;;;Paris, rue de Castiglione;;Scenes and Incidents, Russo-Japanese Peace Conference, Portsmouth, N. H.;;;;
1258;;;;;;;;;;;;Dance espagnole par 'La Belle' Otero;;Opening of Belmont Park Race Course;;;;
1259;;;;;;;;;;;;Theodore Roosevelt Leaving the White House;;2 A.M. in the Subway;;;;
1260;;;;;;;;;;;;President McKinley's Inauguration;;The Ljutomer Fair;;;;
1261;;;;;;;;;;;;Prince Ranjitsinhji Practising Batting in the Nets;;Special March Past of St. Joseph's Scholars and Special Parade of St. Matthew's Pupils, Blackburn;;;;
1262;;;;;;;;;;;;Les bains de la jetée des pâquis;;Preston North End v Aston Villa;;;;
1263;;;;;;;;;;;;Exposition nationale suisse. Palais des beaux-arts;;Automobile Accident;;;;
1264;;;;;;;;;;;;Tramway à vapeur et passagers;;Cretinetti troppo bello;;;;
1265;;;;;;;;;;;;Arrivée d'un train;;Jesters-Jokes;;;;
1266;;;;;;;;;;;;Le czar en France - défilé des troupes;;A Funny Story at the Window;;;;
1267;;;;;;;;;;;;Carga de rurales;;Astrakhan Fisheries;;;;
1268;;;;;;;;;;;;New Blacksmith Shop;;Drama in a Gypsy Camp Near Moscow;;;;
1269;;;;;;;;;;;;The Derby 1895;;Dam and the Whole Dam Family;;;;
1270;;;;;;;;;;;;Faust and Marguerite;;St. Patrick's Day Parade, Lowell, Mass.;;;;
1271;;;;;;;;;;;;Weary Willie;;Wrestling at the New York Athletic Club;;;;
1272;;;;;;;;;;;;Persimmons Winning the Derby;;Panorama from Times Building, New York;;;;
1273;;;;;;;;;;;;The Tramp's Dream;;Our New Errand Boy;;;;
1274;;;;;;;;;;;;Bullfight;;The Lilliputian Minuet;;;;
1275;;;;;;;;;;;;The Broken Melody;;A Mesmerian Experiment;;;;
1276;;;;;;;;;;;;The Maid in the Garden;;A Frightful Night;;;;
1277;;;;;;;;;;;;Cinderella;;The Physician of the Castle;;;;
1278;;;;;;;;;;;;Lightning Change Artist;;Revolution in Russia;;;;
1279;;;;;;;;;;;;Two Naughty Boys Teasing the Cobbler;;Is Spiritualism a Fraud?: The Medium Exposed;;;;
1280;;;;;;;;;;;;The Horitz Passion Play;;A Lively Quarter-Day;;;;
1281;;;;;;;;;;;;Scene of the Lightning Robber's Being Arrested;;Aberdeen University Quarter Centenary Celebrations;;;;
1282;;;;;;;;;;;;The Hind in the Wood;;Return of T.R.H. the Prince and Princess of Wales;;;;
1283;;;;;;;;;;;;Young Griffo v. Battling Charles Barnett;;The Unfortunate Policeman;;;;
1284;;;;;;;;;;;;The Passion Play of Oberammergau;;A Visit to Peek Frean and Co.'s Biscuit Works;;;;
1285;;;;;;;;;;;;The Clown Barber;;Satan at Play;;;;
1286;;;;;;;;;;;;Col. Theodore Roosevelt and Officers of His Staff;;Music, Forward!;;;;
1287;;;;;;;;;;;;Opening of the Kiel Canal;;Baby's Toilet;;;;
1288;;;;;;;;;;;;Lassage d'un cheval sauvage;;The Misadventure of a French Gentleman Without Pants at the Zandvoort Beach;;;;
1289;;;;;;;;;;;;Exercise a la baionette;;King of Dollars;;;;
1290;;;;;;;;;;;;Le forum;;Magic Roses;;;;
1291;;;;;;;;;;;;The Parisians;;The Little Train Robbery;;;;
1292;;;;;;;;;;;;Parade of Buffalo Bill's Wild West Show, No. 1;;On the Barricade;;;;
1293;;;;;;;;;;;;Danse mexicaine;;The Game-Keeper's Son;;;;
1294;;;;;;;;;;;;Little Egypt;;Ocean Studies;;;;
1295;;;;;;;;;;;;VI. La cène;;The Truth Behind the Ape-Man;;;;
1296;;;;;;;;;;;;Casey at the Bat;;The Parish Priest's Christmas;;;;
1297;;;;;;;;;;;;Fantastic Dining Room;;The Drunken Mattress;;;;
1298;;;;;;;;;;;;Floral Parade of Lady Cyclists;;The Cruel Mother;;;;
1299;;;;;;;;;;;;Eagle Dance, Pueblo Indians;;The Hierarchies of Love;;;;
1300;;;;;;;;;;;;Chinese Procession;;"Félix Mayol Performs ""Indiscreet Questions""";;;;
1301;;;;;;;;;;;;Street Scene, San Diego;;"Dranem Performs ""Five O'Clock Tea""";;;;
1302;;;;;;;;;;;;In Single File on the Mountain, l. Montée;;The Statue;;;;
1303;;;;;;;;;;;;In Single File on Glaciers With Snowshoes, l. Montée;;Ali Baba and the Forty Thieves;;;;
1304;;;;;;;;;;;;Locomobile;;The Stuntman;;;;
1305;;;;;;;;;;;;Explosion en mer;;;;;;
1306;;;;;;;;;;;;Caravane de chameaux;;;;;;
1307;;;;;;;;;;;;Belfast : Pompiers: un incendie, II;;;;;;
1308;;;;;;;;;;;;Liverpool, panorama pris du chemin de fer électrique, IV;;;;;;
1309;;;;;;;;;;;;Déchargement d’un navire;;;;;;
1310;;;;;;;;;;;;Place de la Concorde (Obelisk and Fountains);;;;;;
1311;;;;;;;;;;;;In Front of Notre-Dame;;;;;;
1312;;;;;;;;;;;;In a German Bath;;;;;;
1313;;;;;;;;;;;;In the Friedrichstrasse;;;;;;
1314;;;;;;;;;;;;German Lancers;;;;;;
1315;;;;;;;;;;;;Emperor and Empress of Germany;;;;;;
1316;;;;;;;;;;;;The Skaters;;;;;;
1317;;;;;;;;;;;;Our New General Servant;;;;;;
1318;;;;;;;;;;;;Gardener Watering Plants;;;;;;
1319;;;;;;;;;;;;Trilby Burlesque;;;;;;
1320;;;;;;;;;;;;Contortionist;;;;;;
1321;;;;;;;;;;;;Chinese Opium Den;;;;;;
1322;;;;;;;;;;;;Chegada do Trem em Petrópolis;;;;;;
1323;;;;;;;;;;;;Chrysis Waking;;;;;;
1324;;;;;;;;;;;;Man on Parallel Bars;;;;;;
1325;;;;;;;;;;;;Making Sausages;;;;;;
1326;;;;;;;;;;;;The Children's Seaside Frolic;;;;;;
1327;;;;;;;;;;;;A Heavy Sea;;;;;;
1328;;;;;;;;;;;;Turcos (défilé);;;;;;
1329;;;;;;;;;;;;Paris : général Saussier et son état-major;;;;;;
1330;;;;;;;;;;;;Paris : dragons de l’escorte;;;;;;
1331;;;;;;;;;;;;Paris : chasseurs à cheval et spahis de l’escorte;;;;;;
1332;;;;;;;;;;;;Park V. Fernie at Musselburgh;;;;;;
1333;;;;;;;;;;;;Girls Swinging;;;;;;
1334;;;;;;;;;;;;Belfast, exercices de sauvetage;;;;;;
1335;;;;;;;;;;;;Fire Drill;;;;;;
1336;;;;;;;;;;;;Alexandria Consulate;;;;;;
1337;;;;;;;;;;;;The Mischievous Monkey;;;;;;
1338;;;;;;;;;;;;Lutteurs japonais;;;;;;
1339;;;;;;;;;;;;Les Aïnos à Yeso, [II];;;;;;
1340;;;;;;;;;;;;Les Aïnos à Yeso, [I];;;;;;
1341;;;;;;;;;;;;Danseuses japonaises : la danse des ombrelles;;;;;;
1342;;;;;;;;;;;;Procession shintoïste;;;;;;
1343;;;;;;;;;;;;Un pont à Kyoto;;;;;;
1344;;;;;;;;;;;;Yokohama : déchargement dans un port;;;;;;
1345;;;;;;;;;;;;Dîner japonais;;;;;;
1346;;;;;;;;;;;;Chutes du Rhin vues de près;;;;;;
1347;;;;;;;;;;;;Procession, I;;;;;;
1348;;;;;;;;;;;;Pont sur le Rhin;;;;;;
1349;;;;;;;;;;;;Bersagliers;;;;;;
1350;;;;;;;;;;;;Görlitz : revue devant Guillaume II et Nicolas II;;;;;;
1351;;;;;;;;;;;;Guillaume II et Nicolas II à cheval;;;;;;
1352;;;;;;;;;;;;III. Défilé de hussards devant Guillaume II;;;;;;
1353;;;;;;;;;;;;I. Avant l'inauguration. Arrivée des souverains;;;;;;
1354;;;;;;;;;;;;Pierrot et la mouche;;;;;;
1355;;;;;;;;;;;;Jongleur au ballon;;;;;;
1356;;;;;;;;;;;;Un prêté pour un rendu;;;;;;
1357;;;;;;;;;;;;Discussion;;;;;;
1358;;;;;;;;;;;;Arroseur et arrosé, II;;;;;;
1359;;;;;;;;;;;;Serpent;;;;;;
1360;;;;;;;;;;;;Bath Scene;;;;;;
1361;;;;;;;;;;;;Une partie de lawn-tennis, I;;;;;;
1362;;;;;;;;;;;;La Bourse;;;;;;
1363;;;;;;;;;;;;Sortie d'usine, [III];;;;;;
1364;;;;;;;;;;;;Repas en famille;;;;;;
1365;;;;;;;;;;;;Sardine fishing;;;;;;
1366;;;;;;;;;;;;Marché;;;;;;
1367;;;;;;;;;;;;Leçon de bicyclette;;;;;;
1368;;;;;;;;;;;;Enfant et chien;;;;;;
1369;;;;;;;;;;;;Abattage d'un arbre;;;;;;
1370;;;;;;;;;;;;Défilé du club républicain James Blaine;;;;;;
1371;;;;;;;;;;;;Défilé de l'artillerie du district de Columbia;;;;;;
1372;;;;;;;;;;;;Executive Mansion;;;;;;
1373;;;;;;;;;;;;Roi d'Italie et prince Victor passant la revue;;;;;;
1374;;;;;;;;;;;;Arrivée d'un train à Melbourne;;;;;;
1375;;;;;;;;;;;;La Course;;;;;;
1376;;;;;;;;;;;;Enceinte du pesage;;;;;;
1377;;;;;;;;;;;;Arrivée du gouverneur;;;;;;
1378;;;;;;;;;;;;La Foule;;;;;;
1379;;;;;;;;;;;;Station du chemin de fer de Tokyo;;;;;;
1380;;;;;;;;;;;;Une avenue à Tokyo;;;;;;
1381;;;;;;;;;;;;Une rue à Tokyo, [II];;;;;;
1382;;;;;;;;;;;;Spain: Bullfighting;;;;;;
1383;;;;;;;;;;;;L'Impératrice mère et la grande-duchesse Eugénie en carrosse;;;;;;
1384;;;;;;;;;;;;Le prince et la princesse de Naples;;;;;;
1385;;;;;;;;;;;;6ème bataillon de chasseurs alpins: ascension du sommet du diable;;;;;;
1386;;;;;;;;;;;;New York, Avenue et Union Square;;;;;;
1387;;;;;;;;;;;;Une rue à Séville;;;;;;
1388;;;;;;;;;;;;Acteurs japonais : bataille au sabre;;;;;;
1389;;;;;;;;;;;;Panorama pris en chemin de fer, départ de Dammurey;;;;;;
1390;;;;;;;;;;;;Bal des Sablaises;;;;;;
1391;;;;;;;;;;;;Voyage de M. le Président Félix Faure en Russie (Août 1897): Arrivée du président et du Czar à Peterhof;;;;;;
1392;;;;;;;;;;;;Lourdes, procession, I;;;;;;
1393;;;;;;;;;;;;Embarquement pour la promenade;;;;;;
1394;;;;;;;;;;;;Panorama pris depuis une plate-forme mobile;;;;;;
1395;;;;;;;;;;;;Le président en promenade;;;;;;
1396;;;;;;;;;;;;The Arrival of the King of Siam in Stockholm;;;;;;
1397;;;;;;;;;;;;Parade of Buffalo Bill's Wild West Show, No. 2;;;;;;
1398;;;;;;;;;;;;A West Indian Woman Bathing a Baby;;;;;;
1399;;;;;;;;;;;;Buffalo Bill;;;;;;
1400;;;;;;;;;;;;A Panorama of Indian Scenes & Procession;;;;;;
1401;;;;;;;;;;;;The German Emperor Reviewing His Troops;;;;;;
1402;;;;;;;;;;;;Elopement on Horseback;;;;;;
1403;;;;;;;;;;;;Chicken Thieves;;;;;;
1404;;;;;;;;;;;;A Bicycle Trip Through Europe;;;;;;
1405;;;;;;;;;;;;Arab Knife Grinder at Work;;;;;;
1406;;;;;;;;;;;;Dancing Darkies;;;;;;
1407;;;;;;;;;;;;Untitled Kinetoscope Comedy;;;;;;
1408;;;;;;;;;;;;"Performing Animals; or, Skipping Dogs";;;;;;
1409;;;;;;;;;;;;"Boxing Match; or, Glove Contest";;;;;;
1410;;;;;;;;;;;;Landing at Low Tide;;;;;;
1411;;;;;;;;;;;;Cock Fight;;;;;;
1412;;;;;;;;;;;;Paris : les souverains russes et le président de la République aux Champs-Élysées;;;;;;
1413;;;;;;;;;;;;Pompiers : mise en batterie;;;;;;
1414;;;;;;;;;;;;Kanakas Diving for Money (Honolulu), No. 2;;;;;;
1415;;;;;;;;;;;;Street Fight and Arrest;;;;;;
1416;;;;;;;;;;;;Pie Eating Contest;;;;;;
1417;;;;;;;;;;;;Svanerne i Sortedamssøen;;;;;;
1418;;;;;;;;;;;;Blackburn Rovers V. West Bromwich;;;;;;
1419;;;;;;;;;;;;A Bucking Broncho;;;;;;
1420;;;;;;;;;;;;Duel to the Death;;;;;;
1421;;;;;;;;;;;;U.S. Battleship 'Oregon';;;;;;
1422;;;;;;;;;;;;71st Regiment, N.G.S.N.Y. at Camp Wikoff;;;;;;
1423;;;;;;;;;;;;President McKinley's Inspection of Camp Wikoff;;;;;;
1424;;;;;;;;;;;;Wreck of the 'Vizcaya';;;;;;
1425;;;;;;;;;;;;'Vizcaya' Under Full Headway;;;;;;
1426;;;;;;;;;;;;Wounded Soldiers Embarking in Row Boats;;;;;;
1427;;;;;;;;;;;;Calf Branding;;;;;;
1428;;;;;;;;;;;;Indian Day School;;;;;;
1429;;;;;;;;;;;;General Wheeler and Secretary of War Alger at Camp Wikoff;;;;;;
1430;;;;;;;;;;;;Queen Victoria's Diamond Jubilee;;;;;;
1431;;;;;;;;;;;;La Palestina en 1896;;;;;;
1432;;;;;;;;;;;;S.S. 'Queen' Loading;;;;;;
1433;;;;;;;;;;;;Butterfly Dance;;;;;;
1434;;;;;;;;;;;;Why Papa Cannot Sleep;;;;;;
1435;;;;;;;;;;;;No Jardim;;;;;;
1436;;;;;;;;;;;;The Soldier's Courtship;;;;;;
1437;;;;;;;;;;;;Il Finto Storpio;;;;;;
1438;;;;;;;;;;;;Puerta del Sol;;;;;;
1439;;;;;;;;;;;;Brighton Beach;;;;;;
1440;;;;;;;;;;;;The Turn-of-the-Century Barber;;;;;;
1441;;;;;;;;;;;;Feira de Gado na Corujeira;;;;;;
1442;;;;;;;;;;;;Le Ring;;;;;;
1443;;;;;;;;;;;;Butterfly Dance;;;;;;
1444;;;;;;;;;;;;New York, patineurs au Parc central;;;;;;
1445;;;;;;;;;;;;Mort de Robespierre;;;;;;
1446;;;;;;;;;;;;Panorama du funiculaire de Bellevue II;;;;;;
